Time,Position
0.562,-0.568228039171
0.563,-0.572892976472
0.564,-0.577495991002
0.565,-0.582036684617
0.566,-0.586514665812
0.567,-0.590929549731
0.568,-0.595280958049
0.569,-0.599568519254
0.57,-0.603791868622
0.571,-0.60795064821
0.572,-0.612044506892
0.573,-0.616073100383
0.574,-0.620036091271
0.575,-0.623933149042
0.576,-0.627763950108
0.577,-0.631528177833
0.578,-0.635225522561
0.579,-0.638855681626
0.58,-0.642418359255
0.581,-0.645913266773
0.582,-0.649340122601
0.583,-0.652698652244
0.584,-0.655988588314
0.585,-0.659209670547
0.586,-0.662361645825
0.587,-0.665444268193
0.588,-0.668457298878
0.589,-0.671400506306
0.59,-0.674273666119
0.591,-0.677076561204
0.592,-0.679808981541
0.593,-0.682470724461
0.594,-0.685061594563
0.595,-0.687581403727
0.596,-0.690029971127
0.597,-0.692407123239
0.598,-0.694712693852
0.599,-0.696946524079
0.6,-0.699108462362
0.601,-0.701198364488
0.602,-0.703216093586
0.603,-0.705161520145
0.604,-0.707034521963
0.605,-0.708834984208
0.606,-0.710562799428
0.607,-0.71221786754
0.608,-0.713800095832
0.609,-0.71530939896
0.61,-0.716745698958
0.611,-0.718108925228
0.612,-0.719399014546
0.613,-0.720615911058
0.614,-0.721759566277
0.615,-0.722829939099
0.616,-0.723826995822
0.617,-0.724750710074
0.618,-0.725601062837
0.619,-0.726378042445
0.62,-0.727081644577
0.621,-0.727711872248
0.622,-0.728268735805
0.623,-0.728752252913
0.624,-0.729162448551
0.625,-0.729499354997
0.626,-0.729763011822
0.627,-0.729953465909
0.628,-0.7300707714
0.629,-0.730114989685
0.63,-0.730086189393
0.631,-0.729984446386
0.632,-0.729809843736
0.633,-0.729562471712
0.634,-0.729242427765
0.635,-0.728849816506
0.636,-0.728384749694
0.637,-0.727847346211
0.638,-0.727237732075
0.639,-0.72655604043
0.64,-0.725802411456
0.641,-0.72497699238
0.642,-0.724079937455
0.643,-0.723111407941
0.644,-0.722071572082
0.645,-0.720960605077
0.646,-0.71977868906
0.647,-0.718526013074
0.648,-0.717202773043
0.649,-0.715809171748
0.65,-0.714345418818
0.651,-0.712811730675
0.652,-0.71120833051
0.653,-0.709535448259
0.654,-0.707793320573
0.655,-0.705982190785
0.656,-0.704102308882
0.657,-0.70215393147
0.658,-0.700137321744
0.659,-0.698052749456
0.66,-0.695900490875
0.661,-0.693680828776
0.662,-0.691394052399
0.663,-0.689040457387
0.664,-0.686620345765
0.665,-0.684134025906
0.666,-0.681581812489
0.667,-0.678964026467
0.668,-0.676280995024
0.669,-0.673533051538
0.67,-0.670720535541
0.671,-0.667843792678
0.672,-0.66490317467
0.673,-0.661899039283
0.674,-0.658831750266
0.675,-0.655701677315
0.676,-0.652509196032
0.677,-0.649254687878
0.678,-0.645938540134
0.679,-0.642561145853
0.68,-0.639122903816
0.681,-0.635624218487
0.682,-0.632065499963
0.683,-0.628447163953
0.684,-0.624769631651
0.685,-0.621033329835
0.686,-0.617238690685
0.687,-0.613386151778
0.688,-0.609476156044
0.689,-0.605509151711
0.69,-0.601485592256
0.691,-0.597405936357
0.692,-0.593270647838
0.693,-0.589080195621
0.694,-0.58483505367
0.695,-0.580535700943
0.696,-0.576182621353
0.697,-0.571776303688
0.698,-0.567317241568
0.699,-0.562805933389
0.7,-0.558242882275
0.701,-0.553628596013
0.702,-0.548963587005
0.703,-0.544248372208
0.704,-0.53948347308
0.705,-0.534669415527
0.706,-0.529806729862
0.707,-0.524895950716
0.708,-0.519937616986
0.709,-0.514932271785
0.71,-0.50988046238
0.711,-0.504782740132
0.712,-0.499639660437
0.713,-0.494451782665
0.714,-0.489219670101
0.715,-0.483943889896
0.716,-0.478625013051
0.717,-0.47326361427
0.718,-0.467860271921
0.719,-0.462415567987
0.72,-0.456930087999
0.721,-0.451404420973
0.722,-0.445839159351
0.723,-0.440234898933
0.724,-0.434592238813
0.725,-0.428911781335
0.726,-0.423194132107
0.727,-0.41743989979
0.728,-0.411649696081
0.729,-0.40582413566
0.73,-0.39996383612
0.731,-0.394069417908
0.732,-0.388141504253
0.733,-0.382180721103
0.734,-0.376187697058
0.735,-0.370163063323
0.736,-0.364107453726
0.737,-0.358021504496
0.738,-0.351905854248
0.739,-0.345761143919
0.74,-0.33958801671
0.741,-0.333387118013
0.742,-0.327159095348
0.743,-0.32090459829
0.744,-0.3146242784
0.745,-0.308318789183
0.746,-0.301988786101
0.747,-0.295634926356
0.748,-0.289257868855
0.749,-0.282858274166
0.75,-0.276436804445
0.751,-0.269994123368
0.752,-0.263530896062
0.753,-0.257047789036
0.754,-0.25054547011
0.755,-0.244024608366
0.756,-0.237485874173
0.757,-0.230929938956
0.758,-0.224357475169
0.759,-0.217769156245
0.76,-0.211165656523
0.761,-0.204547651183
0.762,-0.197915816171
0.763,-0.191270828137
0.764,-0.184613364357
0.765,-0.177944102684
0.766,-0.171263721584
0.767,-0.16457289989
0.768,-0.157872316784
0.769,-0.151162651737
0.77,-0.14444458445
0.771,-0.137718794776
0.772,-0.130985962654
0.773,-0.124246768041
0.774,-0.117501890842
0.775,-0.110752010841
0.776,-0.103997807757
0.777,-0.0972399610349
0.778,-0.0904791497601
0.779,-0.0837160526336
0.78,-0.0769513479032
0.781,-0.0701857132949
0.782,-0.0634198259447
0.783,-0.0566543623302
0.784,-0.0498899982024
0.785,-0.0431274085169
0.786,-0.0363672674489
0.787,-0.0296102482943
0.788,-0.0228570232942
0.789,-0.0161082636368
0.79,-0.00936463938958
0.791,-0.00262681943298
0.792,0.0041045286065
0.793,0.0108287384231
