62766,0.12,-0.32,-1.7,-222.72,-8.77,140.47,0.49,-0.93,-0.48,0.56,-26,-88.32
62771,0.35,-0.01,-1.44,-167.69,21.99,126.82,0.42,-0.92,-0.51,1.36,-29.97,-97.38
62776,0.42,0.12,-1.4,-127.67,105.36,104.02,0.46,-0.89,-0.52,5.95,-22.92,-104.51
62781,0.46,-0.08,-1.35,-98.16,187.16,81.19,0.53,-0.95,-0.51,6.06,-14.76,-106.02
62786,0.48,-0.05,-1.34,-74.74,228.64,78.19,0.48,-0.99,-0.57,0.95,-20.95,-102.83
62791,0.44,0.09,-1.31,-63.35,239.23,90.79,0.38,-0.93,-0.62,-8.09,-35.35,-101.04
62796,0.41,0.24,-1.36,-63.28,241.96,104.57,0.31,-0.84,-0.64,-19.44,-48.1,-104.43
62801,0.41,0.24,-1.36,-70.6,228.21,118.74,0.29,-0.75,-0.64,-32.06,-55.11,-113.11
62806,0.42,0.38,-1.33,-72.88,201.49,134.23,0.28,-0.7,-0.65,-44.71,-55.1,-124.73
62811,0.37,0.37,-1.3,-80.02,168.7,150.73,0.31,-0.66,-0.66,-55.18,-49.74,-137.77
62816,0.32,0.36,-1.25,-80.31,131.68,166.15,0.31,-0.64,-0.67,-63.74,-43.58,-150.16
62821,0.26,0.22,-1.17,-76.92,110.12,178.74,0.3,-0.68,-0.7,-70.91,-38.09,-159.01
62826,0.22,0.06,-1.16,-69.17,98.45,188.51,0.28,-0.69,-0.72,-75.07,-31.66,-166.79
62831,0.17,-0.06,-1.1,-55.24,98.18,192.86,0.26,-0.66,-0.74,-74.84,-24.7,-172.97
62836,0.14,-0.11,-1.1,-37.72,101.84,194.92,0.21,-0.67,-0.75,-75.36,-8.35,-179.47
62841,0.14,-0.17,-1.06,-19.78,110.11,194.27,0.26,-0.62,-0.75,-68.6,16.25,-187.32
62846,0.13,-0.21,-1.04,-0.64,123.32,190.6,0.28,-0.6,-0.77,-61.14,33.11,-194.53
62851,0.11,-0.26,-1.01,20.39,138.96,183.47,0.22,-0.61,-0.8,-61.14,33.11,-194.53
62855,0.1,-0.3,-0.99,43.03,153.32,175.29,0.19,-0.58,-0.82,-54.82,43.49,-198.96
62860,0.09,-0.34,-0.98,66.19,163.59,169.8,0.19,-0.6,-0.84,-47.59,48.95,-199.08
62865,0.1,-0.34,-0.98,91.63,169.16,166.52,0.18,-0.6,-0.87,-42.57,50.58,-194.5
62870,0.1,-0.34,-0.99,117.58,171.81,162.31,0.18,-0.59,-0.93,-36.53,41.81,-185.64
62875,0.1,-0.34,-0.99,142.27,173.89,156.59,0.14,-0.61,-0.95,-29.46,20.75,-170.82
62880,0.07,-0.36,-0.98,159.45,172.41,151.76,0.09,-0.52,-0.91,-28,3.02,-154.36
